question,answer
What causes Diabetes ?,"Type 1 diabetes is an autoimmune disease. In an autoimmune reaction, antibodies, or immune cells, attach to the body's own healthy tissues by mistake, signaling the body to attack them. At present, scientists do not know exactly what causes the body's immune system to attack the insulin-producing cells in the pancreas in people with type 1 diabetes. However, many believe that both genetic factors and environmental factors are involved. Studies now are underway to identify these factors and prevent type 1 diabetes in people at risk. Type 2 diabetesthe most common form of diabetesis caused by a combination of factors, including insulin resistance, a condition in which the bodys muscle, fat, and liver cells do not use insulin effectively. Type 2 diabetes develops when the body can no longer produce enough insulin to compensate for the impaired ability to use insulin.  Get more details about who should be tested for diabetes."
What is (are) Medicare and Continuing Care ?,"Medicare is a federal health insurance program for people - age 65 and older - under age 65 with certain disabilities who have been receiving Social Security disability benefits for a certain amount of time (24 months in most cases) - of any age who have End-Stage Renal Disease (ESRD), which is permanent kidney failure requiring dialysis or a transplant. age 65 and older under age 65 with certain disabilities who have been receiving Social Security disability benefits for a certain amount of time (24 months in most cases) of any age who have End-Stage Renal Disease (ESRD), which is permanent kidney failure requiring dialysis or a transplant. Medicare helps with the cost of health care, but it does not cover all medical expenses."
What to do for Medicare and Continuing Care ?,"Nursing home care can be very expensive. Medicare generally doesn't cover nursing home care. There are many ways people can pay for nursing home care. For example, they can use their own money, they may be able to get help from their state, or they may use long-term care insurance. Nursing home care isn't covered by many types of health insurance. Most people who enter nursing homes begin by paying for their care out of their own pocket. As they use up their resources over a period of time, they may eventually become eligible for Medicaid. Medicaid is a state and Federal program that will pay most nursing home costs for people with limited income and resources. Eligibility varies by state. Medicaid pays for care for about 7 out of every 10 nursing home residents. Medicaid will pay for nursing home care only when provided in a Medicaid-certified facility. For information about Medicaid eligibility, call your state Medical Assistance (Medicaid) Office. If you have questions about Medicaid, you can call your State Medical Assistance (Medicaid) office for more information. Visit http://www.medicare.gov on the web. (Under ""Search Tools,"" select ""Find Helpful Phone Numbers and Websites."") Or, call 1-800-Medicare (1-800-633-4227) to get the telephone number. TTY users should call 1-877-486-2048."
What is (are) Knee Replacement ?,"There are many different types and designs of artificial knees. Most consist of three components: -  the femoral component, which is the part that attaches to the thigh bone  - the tibial component, the part that attaches to the shin bone   - the patellar component, the knee cap. the femoral component, which is the part that attaches to the thigh bone the tibial component, the part that attaches to the shin bone the patellar component, the knee cap. Total and Partial Knee Replacement Knee replacement may be either total or partial/unicompartmental. In total knee replacement, as the name suggests, the entire knee joint is replaced. You will likely need a total knee replacement if you have damage to several parts of your knee. In partial/unicompartmental knee replacement, the surgeon replaces just the damaged part of the knee. You may be able to have a partial knee replacement if only one section of your knee is damaged. However, when one part is replaced, there is a chance that another part will develop arthritis, requiring further surgery. Cemented and Uncemented Joint Components Joint components may also be attached to your own bone in different ways. Most are cemented with a special joint glue into your existing bone; others rely on a process called biologic fixation to hold them in place. This means that the parts are made with a porous surface, and over time your own bone grows into the joint surface to secure them. In some cases, surgeons use a combination of cemented and uncemented parts. This is referred to as a hybrid implant. Minimally Invasive Surgery While some knee replacement surgery requires an 8- to 12-inch incision in the front of the knee, surgeons at many medical centers are now performing what is called minimally invasive surgery using incisions of 3 to 5 inches or even smaller. Because the incision is smaller, there may be less pain and a shorter recovery time. If you think you might be interested in minimally invasive surgery, speak with your surgeon."
What are the complications of Knee Replacement ?,"While new technology and advances in surgical techniques have greatly reduced the risks involved with knee replacements, there are still some risks you should be aware of. Two of the most common possible problems are blood clots and infection. Preventing Blood Clots Blood clots can occur in the veins of your legs after knee replacement surgery. To reduce the risk of clots, your doctor may have you elevate your leg periodically and prescribe special exercises, support hose, or blood thinners. Preventing Infections Infection can occur when bacteria enter the bloodstream from skin or urinary tract infections. To reduce the risk of infection, your doctors may prescribe antibiotics for you to take prior to your surgery and for a short time afterward. Other Complications Other complications, such as new or ongoing pain, stiffness, fracture, bleeding, or injury to the blood vessels can occur. Serious medical complications, such as heart attack or stroke, are very rare. Warning Signs To Watch For To minimize the risk of complications, it is important to recognize signs of potential problems early and contact your doctor. For example, tenderness, redness, and swelling of your calf or swelling of your thigh, ankle, calf, or foot could be warning signs of a possible blood clot. Warning signs of infection include fever or chills, tenderness and swelling of the wound, and drainage from the wound. You should call your doctor if you experience any of these symptoms. It is important to get instructions from your doctor before leaving the hospital and follow them carefully once you get home. Doing so will give you the greatest chance of a successful surgery."
What is the outlook for Knee Replacement ?,"Recovery from knee replacement extends long after you leave the hospital. Preparing for recovery requires learning what to expect in the days and weeks following surgery. It requires understanding what you will and wont be able to do  and when. It also means arranging for social support and arranging your house to make everyday tasks easier and to help speed your recovery. Find Someone To Stay with You Because you will not be able to drive for several weeks after surgery, you will need someone to take you home from the hospital and be on hand to run errands or take you to appointments until you can drive yourself. If you live with someone, you should have them plan to stay home with you or at least stay close by, in case you need help. If you dont live with a family member or have one close by, a friend or neighbor may be able to help. Other options include staying in an extended-care facility during your recovery or hiring someone to come to your home and help you. Your hospital social worker should be able to help you make arrangements. Prepare Your Home for Your Recovery To prepare your home for your recovery, stock up on needed items before you leave for the hospital. Make sure you have plenty of non-perishable foods on hand. Prepare meals and freeze them to put in the microwave when you need an easy meal. In the first weeks after surgery, you should avoid going up and down stairs. If your bedroom is on the second floor of your home, consider moving to a downstairs bedroom temporarily or sleeping on the sofa. Set Up a Recovery Station Set up a recovery station at home. Place a sturdy chair where you plan to spend most of your time sitting during the first weeks after surgery. The chair should be 18 to 20 inches high and should have two arms and a firm seat and back. Place a foot stool in front of the chair so you can elevate your legs, and place items you will need such as the television remote control, telephone, medicine, and tissues where you can reach them easily from the chair. Place items you use every day at arms level to avoid reaching up or bending down. Ask your doctor or physical therapist about devices and tips that may make daily activities easier once you get home. Devices you may find helpful include long-handled reachers to retrieve items placed on high shelves or dropped on the floor, aprons with pockets that allow you to carry items while leaving your hands free for crutches, shower benches that let you sit while you shower, and dressing sticks to help you get dressed without bending your new knee excessively. Safeguard Against Falls Because a fall can damage your new knee, making your home a safe place is crucial. Before your surgery, look for and correct hazards, including cluttered floors, loose electrical cords, unsecured rugs, and dark hallways. Bathrooms are likely places to fall, so particular attention is needed there. A raised toilet seat can make it easier to get up and down. Grab bars in the tub can keep you steady. Textured shapes on the shower floor can minimize slipping. Gradually Increase Activity It is also important to exercise to get stronger while avoiding any activities that can damage or dislocate your new joint. Activity should include a graduated walking program (where you slowly increase the time, distance, and pace that you walk) and specific exercises several times a day to prevent scarring, restore movement, and stabilize and strengthen your new knee. Remember Follow-ups Your surgeon will let you know about follow-up visits. Even after you have healed from surgery, you will need to see your surgeon periodically for examinations and x-rays to detect any potential problems with your knee. By preparing for surgery and recovery and following your doctor's advice, you can get the greatest benefits from your new knee with the least risk of complications for many years to come."
What are the treatments for Knee Replacement ?,"Treatments your doctor will likely recommend before knee replacement include - exercises to strengthen the muscles around the knee and improve flexibility  - weight loss, if needed, to reduce the load the knee must bear   - walking aids such as canes to reduce stress on the joint   - shoe inserts to improve the knees alignment  - medicines to relieve pain.  exercises to strengthen the muscles around the knee and improve flexibility weight loss, if needed, to reduce the load the knee must bear walking aids such as canes to reduce stress on the joint shoe inserts to improve the knees alignment medicines to relieve pain."
Who is at risk for Knee Replacement? ?,"Because a fall can damage your new knee, making your home a safe place is crucial. Before your surgery, look for and correct hazards, including cluttered floors, loose electrical cords, unsecured rugs, and dark hallways. A raised toilet seat can make it easier to get up and down. Grab bars in the tub can keep you steady."
What is (are) Balance Problems ?,"Have you ever felt dizzy, lightheaded, or as if the room were spinning around you? These can be very troublesome sensations. If the feeling happens often, it could be a sign of a balance problem. Balance problems are among the most common reasons that older adults seek help from a doctor. In 2008, an estimated 14.8 percent of American adults (33.4 million) had a balance or dizziness problem during the past year. Why Good Balance is Important Having good balance means being able to control and maintain your body's position, whether you are moving or remaining still. An intact sense of balance helps you - walk without staggering  - get up from a chair without falling   - climb stairs without tripping  - bend over without falling. walk without staggering get up from a chair without falling climb stairs without tripping bend over without falling. The part of the inner ear responsible for balance is the vestibular system, often referred to as the labyrinth. To maintain your body's position, the labyrinth interacts with other systems in the body, such as the eyes, bones and joints. Good balance is important to help you get around, stay independent, and carry out daily activities. Learn how your body maintains its balance. When People Have Problems with Balance As they get older, many people experience problems with their sense of balance. They feel dizzy or unsteady, or as if they or their surroundings were in motion. Disturbances of the inner ear are a common cause. Vertigo, the feeling that you or the things around you are spinning, is also a common symptom. Balance disorders are one reason older people fall. Falls and fall-related injuries, such as hip fracture, can have a serious impact on an older person's life. If you fall, it could limit your activities or make it impossible to live independently. Many people often become more isolated after a fall. According to the Centers for Disease Control and Prevention, roughly more than one-third of adults ages 65 years and older fall each year. Among older adults, falls are the leading cause of injury-related deaths.  Learn other ways a fall may affect an older adult's life. BPPV (Benign Paroxysmal Positional Vertigo) There are many types of balance disorders. One of the most common is benign paroxysmal positional vertigo, or BPPV. In BPPV, you experience a brief, intense feeling of vertigo when you change the position of your head, such as when rolling over to the left or right, upon getting out of bed, or when looking for an object on a high or low shelf. BPPV is more likely to occur in adults aged 60 and older, but can also occur in younger people. In BPPV, small calcium particles in the inner ear become displaced and disrupt the inner ear balance sensors, causing dizziness. The reason they become displaced is not known; the cause may be an inner ear infection, head injury, or aging. Labyrinthitis This is an infection or inflammation of the inner ear that causes dizziness and loss of balance. It is often associated with an upper respiratory infection such as the flu. Mnire's Disease Mnire's disease is a balance disorder that causes a person to experience - vertigo  - hearing loss that comes and goes  - tinnitus, which is a ringing or roaring in the ears  - a feeling of fullness in the ear.  vertigo hearing loss that comes and goes tinnitus, which is a ringing or roaring in the ears a feeling of fullness in the ear. It affects adults of any age. The cause is unknown. See a fuller list of balance disorders. There are many ways to treat balance disorders. Treatments vary depending on the cause. See your doctor if you are experiencing dizziness, vertigo, or other problems with your balance."
How to prevent Balance Problems ?,"People are more likely to have problems with balance as they get older. But age is not the only reason these problems occur; there are other causes, too. In some cases, you can help reduce your risk for certain balance problems. Problems in the Inner Ear Some balance disorders are caused by problems in the inner ear. The part of the inner ear that is responsible for balance is the vestibular system, also known as the labyrinth. When the labyrinth becomes infected or swollen, this condition is called labyrinthitis. It is typically accompanied by vertigo and imbalance. Upper respiratory infections and other viral infections, and, less commonly, bacterial infections, can lead to labyrinthitis. Other Causes Other balance diseorers may involve another part of the body, such as the brain or the heart. For example, diseases of the circulatory system, such as stroke, can cause dizziness and other balance problems. Smoking and diabetes can increase the risk of stroke. Low blood pressure can also cause dizziness. Aging, infections, head injury and many medicines may also result in a balance problem. Problems Caused by Medications Balance problems can also result from taking many medications. For example, some medicines, such as those that help lower blood pressure, can make a person feel dizzy. Ototoxic drugs are medicines that damage the inner ear. If your medicine is ototoxic, you may feel off balance. Sometimes the damage lasts only as long as you take the drug; many times it is permanent. Groups of drugs that are more likely to be ototoxic include -  antidepressants  - anti-seizure drugs (anticonvulsants)  -  hypertensive (high blood pressure) drugs  - sedatives  - tranquilizers  -  anxiolytics (anti-anxiety drugs)   - aminoglycosides (a type of antibiotic)   - diuretics  - vasodilators  - certain analgesics (painkillers)  - certain chemotherapeutics (anti-cancer drugs). antidepressants anti-seizure drugs (anticonvulsants) hypertensive (high blood pressure) drugs sedatives tranquilizers anxiolytics (anti-anxiety drugs) aminoglycosides (a type of antibiotic) diuretics vasodilators certain analgesics (painkillers) certain chemotherapeutics (anti-cancer drugs). Check with your doctor if you notice a problem while taking a medication. Ask if other medications can be used instead. If not, ask if the dosage can be safely reduced. Sometimes it cannot. However, your doctor will help you get the medication you need while trying to reduce unwanted side effects. Diet and Lifestyle Can Help Your diet and lifestyle can help you manage certain balance-related problems. For example, Mnire's disease, which causes vertigo and other balance and hearing problems, is linked to a change in the volume of fluid in the inner ear. By eating low-salt (low-sodium) or salt-free foods, and steering clear of caffeine and alcohol, you may make Mnire's disease symptoms less severe. See suggestions for limiting salt (sodium) in your diet. Balance problems due to high blood pressure can be managed by eating less salt (less sodium), maintaining a healthy weight, and exercising. Balance problems due to low blood pressure may be managed by drinking plenty of fluids, such as water, avoiding alcohol, and being cautious regarding your body's posture and movement, such as standing up slowly and avoiding crossing your legs when youre seated. Learn more about managing high blood pressure (hypertension). Learn more about manging low blood pressure (hypotension). Prevent Ear Infections The ear infection called otitis media is common in children, but adults can get it too. Otitis media can sometimes cause dizziness. You can help prevent otitis media by washing your hands frequently. Also, talk to your doctor about getting a yearly flu shot to stave off flu-related ear infections. If you still get an ear infection, see a doctor immediately before it becomes more serious. Learn more about otitis media and other ear infections. (Centers for Disease Control and Prevention)"
What are the symptoms of Balance Problems ?,"Some people may have a balance problem without realizing it. Others might think they have a problem, but are too embarrassed to tell their doctor, friends, or family. Here are common symtoms experienced by people with a balance disorder. Symptoms If you have a balance disorder, you may stagger when you try to walk, or teeter or fall when you try to stand up. You might experience other symptoms such as: - dizziness or vertigo (a spinning sensation)   - falling or feeling as if you are going to fall  - lightheadedness, faintness, or a floating sensation  - blurred vision  - confusion or disorientation. dizziness or vertigo (a spinning sensation) falling or feeling as if you are going to fall lightheadedness, faintness, or a floating sensation blurred vision confusion or disorientation. Other symptoms might include nausea and vomiting, diarrhea, changes in heart rate and blood pressure, and fear, anxiety, or panic. Symptoms may come and go over short time periods or last for a long time, and can lead to fatigue and depression. Diagnosis Can Be Difficult Balance disorders can be difficult to diagnose. Sometimes they are a sign of other health problems, such as those affecting the brain, the heart, or circulation of the blood. People may also find it hard to describe their symptoms to the doctor. Questions to Ask Yourself You can help identify a balance problem by asking yourself some key questions. If you answer ""yes"" to any of these questions, you should discuss the symptom with your doctor. - Do I feel unsteady?   - Do I feel as if the room is spinning around me, even only for brief periods of time?  - Do I feel as if I'm moving when I know I'm standing or sitting still?   - Do I lose my balance and fall?   - Do I feel as if I'm falling?  - Do I feel lightheaded, or as if I might faint?   - Does my vision become blurred?   - Do I ever feel disoriented, losing my sense of time, place, or identity? Do I feel unsteady? Do I feel as if the room is spinning around me, even only for brief periods of time? Do I feel as if I'm moving when I know I'm standing or sitting still? Do I lose my balance and fall? Do I feel as if I'm falling? Do I feel lightheaded, or as if I might faint? Does my vision become blurred? Do I ever feel disoriented, losing my sense of time, place, or identity? Questions to Ask Your Doctor If you think that you have a balance disorder, you should schedule an appointment with your family doctor. You can help your doctor make a diagnosis by writing down key information about your dizziness or balance problem beforehand and giving the information to your doctor during the visit. Tell your doctor as much as you can. Write down answers to these questions for your doctor: - How would you describe your dizziness or balance problem?  -  If it feels like the room is spinning around you, which ways does it appear to turn?  - How often do you have dizziness or balance problems?  - Have you ever fallen?   - If so, when did you fall, where did you fall, and how often have you fallen?  - What medications do you take? Remember to include all over-the-counter medications, including aspirin, antihistamines, and sleep aids.   - What is the name of the medication?  - How much do you take each day?   - What times of the day do you take the medication?  - What is the health condition for which you take the medication?  How would you describe your dizziness or balance problem? If it feels like the room is spinning around you, which ways does it appear to turn? How often do you have dizziness or balance problems? Have you ever fallen? If so, when did you fall, where did you fall, and how often have you fallen? What medications do you take? Remember to include all over-the-counter medications, including aspirin, antihistamines, and sleep aids. What is the name of the medication? How much do you take each day? What times of the day do you take the medication? What is the health condition for which you take the medication? See a video about describing symptoms and health concerns during a doctor visit. Seeing a Specialist Your doctor may refer you to an otolaryngologist. This is a doctor with special training in problems of the ear, nose, throat, head, and neck. The otolaryngologist may ask you for your medical history and perform a physical examination to help figure out the possible causes of the balance disorder. He or she, as well as an audiologist (a person who specializes in assessing hearing and balance disorders), may also perform tests to determine the cause and extent of the problem.  Learn what's involved in visiting a medical specialist."
What are the treatments for Balance Problems ?,"Your doctor can recommend strategies to help reduce the effects of a balance disorder. Scientists are studying ways to develop new, more effective methods to treat and prevent balance disorders. Balance disorders can be signs of other health problems, such as an ear infection, stroke, or multiple sclerosis. In some cases, you can help treat a balance disorder by seeking medical treatment for the illness that is causing the disorder. Exercises for Balance Disorders Some exercises help make up for a balance disorder by moving the head and body in certain ways. The exercises are developed especially for a patient by a professional (often a physical therapist) who understands the balance system and its relationship with other systems in the body. In benign paroxysmal positional vertigo, or BPPV, small calcium particles in the inner ear become displaced, causing dizziness. BPPV can often be effectively treated by carefully moving the head and torso to move the displaced calcium particles back to their original position. For some people, one session will be all that is needed. Others might need to repeat the procedure several times at home to relieve their dizziness. Treating Mnire's Disease Mnire's disease is caused by changes in fluid volumes in the inner ear. People with Mnire's disease can help reduce its dizzying effects by lowering the amount of sodium, or salt (sodium) in their diets. Limiting alcohol or caffeine also may be helpful.  See suggestions for limiting salt (sodium) in your diet. Medications such as corticosteroids and the antibiotic gentamicin are used to treat Mnire's disease. Gentamicin can help reduce the dizziness that occurs with Mnire's disease, but in some cases it can also destroy sensory cells in the inner ear, resulting in permanent hearing loss. Corticosteroids don't cause hearing loss, but research is underway to determine if they are as effective as gentamicin. Learn more about ways to treat Mnire's disease. In some cases, surgery may be necessary to relieve a balance disorder. Treating Problems Due to High or Low Blood Pressure Balance problems due to high blood pressure can be managed by eating less salt (sodium), maintaining a healthy weight, and exercising. Balance problems due to low blood pressure may be managed by drinking plenty of fluids, such as water, avoiding alcohol, and being cautious regarding your body's posture and movement, such as standing up slowly and avoiding crossing your legs when youre seated. Learn more about managing high blood pressure (hypertension).   Learn more about managing low blood pressure (hypotension).  Coping with a Balance Disorder Some people with a balance disorder may not be able to fully relieve their dizziness and will need to find ways to cope with it. A vestibular rehabilitation therapist can help you develop an individualized treatment plan. Talk to your doctor about whether its safe to drive, as well as ways to lower your risk of falling and getting hurt during daily activities, such as when you walk up or down stairs, use the bathroom, or exercise. To reduce your risk of injury from dizziness, avoid walking in the dark. You should also wear low-heeled shoes or walking shoes outdoors. If necessary, use a cane or walker and modify conditions at your home and workplace, such as by adding handrails. Current Research Scientists are working to understand the complex interactions between the brain and the part of the inner ear responsible for balance. They are also studying the effectiveness of certain exercises as a treatment option for balance disorders. In a study funded by the National Institute on Deafness and Other Communication Disorders (NIDCD), researchers created a virtual reality grocery store. This virtual store is a computer-simulated environment that seems to be a physical place in the real world, designed so people with balance disorders can safely walk on a treadmill as they practice looking for items on store shelves. The goal is to help reduce a person's dizziness in confusing environments. NIDCD-supported scientists are also studying the use of a vestibular implant to stop a Mnires attack by restoring normal electrical activity in the vestibular nerve. This nerve conveys balance information to the brain. The device uses the same technology found in a cochlear implant, a medical device that currently provides a sense of sound to people who are deaf or hard-of-hearing. An NIDCD-supported clinical trial in benign paroxysmal positioning vertigo (BPPV) showed that repositioning maneuvers work well, and offered clinicians a range of choices in selecting the treatment best suited to each individuals unique needs. See more information about research on balance problems."
How many people are affected by Balance Problems ?,"In 2008, an estimated 14.8 percent of American adults (33.4 million) had a balance or dizziness problem during the past year. See statistics about the frequency of balance and other sensory impairments in older adults.  (Centers for Disease Control and Prevention)"
What causes Balance Problems ?,"Some balance disorders are caused by problems in the inner ear. The part of the inner ear that is responsible for balance is the vestibular system, often refered to as the labyrinth. When the labyrinth becomes infected or swollen -- a condition called labyrinthitis -- it is typically accompanied by vertigo and imbalance. Upper respiratory infections, other viral infections, and, less commonly, bacterial infections, can lead to labyrinthitis. Other balance disorders may involve another part of the body, such as the brain or the heart. For example, diseases of the circulatory system, such as stroke, can cause dizziness and other balance problems. Smoking and diabetes can increase the risk of stroke. Low blood pressure also can cause dizziness. Aging, infections, head injury, and many medicines may also result in a balance problem."
What is (are) Quitting Smoking for Older Adults ?,Many former smokers who are 50 and older say that their main reason for quitting was for their health or due to their doctors advice. Another common reason smokers quit is to be in control of their lives and to be free from cigarettes. A lot of former smokers also said that pleasing or helping a loved one was a big part of their decision to quit. These all are good reasons. The most important reasons for quitting are the ones you decide on for yourself.
What causes Quitting Smoking for Older Adults ?,"Yes. Smoking is the leading cause of cancer in the United States, and it increases the risk of many types of cancer, including -  lung cancer  - throat cancer  -  mouth cancer  -  nasal cavity cancer (cancer in the airways of the nose)  - esophageal cancer (cancer of the esophagus)  - stomach cancer  -  pancreatic cancer (cancer of the pancreas)  -  kidney cancer   - bladder cancer  -  cervical cancer (cancer of the cervix)  -  acute myeloid leukemia (blood cancer).  lung cancer throat cancer  mouth cancer  nasal cavity cancer (cancer in the airways of the nose) esophageal cancer (cancer of the esophagus) stomach cancer  pancreatic cancer (cancer of the pancreas)  kidney cancer  bladder cancer  cervical cancer (cancer of the cervix)  acute myeloid leukemia (blood cancer). If you smoke, you are up to 10 times more likely to get cancer than a person who has never smoked. This depends on how much and how long you smoked."
What is (are) Prostate Cancer ?,"How Tumors Form The body is made up of many types of cells. Normally, cells grow, divide, and produce more cells as needed to keep the body healthy and functioning properly. Sometimes, however, the process goes wrong -- cells become abnormal and form more cells in an uncontrolled way. These extra cells form a mass of tissue, called a growth or tumor. Tumors can be benign, which means not cancerous, or malignant, which means cancerous. How Prostate Cancer Occurs Prostate cancer occurs when a tumor forms in the tissue of the prostate, a gland in the male reproductive system. In its early stage, prostate cancer needs the male hormone testosterone to grow and survive. The prostate is about the size of a large walnut. It is located below the bladder and in front of the rectum. The prostate's main function is to make fluid for semen, a white substance that carries sperm. Prostate cancer is one of the most common types of cancer among American men. It is a slow-growing disease that mostly affects older men. In fact, more than 60 percent of all prostate cancers are found in men over the age of 65. The disease rarely occurs in men younger than 40 years of age. Prostate Cancer Can Spread Sometimes, cancer cells break away from a malignant tumor in the prostate and enter the bloodstream or the lymphatic system and travel to other organs in the body. When cancer spreads from its original location in the prostate to another part of the body such as the bone, it is called metastatic prostate cancer -- not bone cancer. Doctors sometimes call this distant disease. Surviving Prostate Cancer Today, more men are surviving prostate cancer than ever before. Treatment can be effective, especially when the cancer has not spread beyond the region of the prostate."
Who is at risk for Prostate Cancer? ?,"Scientists don't know exactly what causes prostate cancer. They cannot explain why one man gets prostate cancer and another does not. However, they have been able to identify some risk factors that are associated with the disease. A risk factor is anything that increases your chances of getting a disease. Age Age is the most important risk factor for prostate cancer. The disease is extremely rare in men under age 40, but the risk increases greatly with age. More than 60 percent of cases are diagnosed in men over age 65. The average age at the time of diagnosis is 65. Race Race is another major risk factor. In the United States, this disease is much more common in African American men than in any other group of men. It is least common in Asian and American Indian men. Family History A man's risk for developing prostate cancer is higher if his father or brother has had the disease. Other Risk Factors Scientists have wondered whether obesity, lack of exercise, smoking, radiation exposure, might increase risk. But at this time, there is no firm evidence that these factors contribute to an increased risk."
What are the symptoms of Prostate Cancer ?,"Symptoms Most cancers in their early, most treatable stages don't cause any symptoms. Early prostate cancer usually does not cause symptoms. However, if prostate cancer develops and is not treated, it can cause these symptoms: - a need to urinate frequently, especially at night  - difficulty starting urination or holding back urine  - inability to urinate  - weak or interrupted flow of urine  - painful or burning urination  - difficulty in having an erection  - painful ejaculation  - blood in urine or semen  - pain or stiffness in the lower back, hips, or upper thighs. a need to urinate frequently, especially at night difficulty starting urination or holding back urine inability to urinate weak or interrupted flow of urine painful or burning urination difficulty in having an erection painful ejaculation blood in urine or semen pain or stiffness in the lower back, hips, or upper thighs. Any of these symptoms may be caused by cancer, but more often they are due to enlargement of the prostate, which is not cancer. If You Have Symptoms If you have any of these symptoms, see your doctor or a urologist to find out if you need treatment. A urologist is a doctor who specializes in treating diseases of the genitourinary system. The doctor will ask questions about your medical history and perform an exam to try to find the cause of the prostate problems. The PSA Test The doctor may also suggest a blood test to check your prostate specific antigen, or PSA, level. PSA levels can be high not only in men who have prostate cancer, but also in men with an enlarged prostate gland and men with infections of the prostate. PSA tests may be very useful for early cancer diagnosis. However, PSA tests alone do not always tell whether or not cancer is present. PSA screening for prostate cancer is not perfect. (Screening tests check for disease in a person who shows no symptoms.) Most men with mildly elevated PSA do not have prostate cancer, and many men with prostate cancer have normal levels of PSA. A recent study revealed that men with low prostate specific antigen levels, or PSA, may still have prostate cancer. Also, the digital rectal exam can miss many prostate cancers. Other Tests The doctor may order other exams, including ultrasound, MRI, or CT scans, to learn more about the cause of the symptoms. But to confirm the presence of cancer, doctors must perform a biopsy. During a biopsy, the doctor uses needles to remove small tissue samples from the prostate and then looks at the samples under a microscope. If Cancer is Present If a biopsy shows that cancer is present, the doctor will report on the grade of the tumor. Doctors describe a tumor as low, medium, or high-grade cancer, based on the way it appears under the microscope. One way of grading prostate cancer, called the Gleason system, uses scores of 2 to 10. Another system uses G1 through G4. The higher the score, the higher the grade of the tumor. High-grade tumors grow more quickly and are more likely to spread than low-grade tumors."
What are the treatments for Prostate Cancer ?,"If tests show that you have cancer, you should talk with your doctor in order to make treatment decisions. Working With a Team of Specialists A team of specialists often treats people with cancer. The team will keep the primary doctor informed about the patient's progress. The team may include a medical oncologist who is a specialist in cancer treatment, a surgeon, a radiation oncologist who is a specialist in radiation therapy, and others. Before starting treatment, you may want another doctor to review the diagnosis and treatment plan. Some insurance companies require a second opinion. Others may pay for a second opinion if you request it. Clinical Trials for Prostate Cancer Some prostate cancer patients take part in studies of new treatments. These studies -- called clinical trials -- are designed to find out whether a new treatment is safe and effective. Often, clinical trials compare a new treatment with a standard one so that doctors can learn which is more effective. Men with prostate cancer who are interested in taking part in a clinical trial should talk with their doctor. The U.S. National Institutes of Health, through its National Library of Medicine and other Institutes, maintains a database of clinical trials at ClinicalTrials.gov. Click here to see a list of the current clinical trials on prostate cancer. A separate window will open. Click the ""x"" in the upper right hand corner of the ""Clinical Trials"" window to return here."
